,Class Number,Class,Division,Year,Quarter,Restrictions,Add Code Required,SLN,ID,Credit,Laboratory,Meeting Day,Meeting Times,Building,Room,Instructor,Status,Enrolled,Enrollment Limit,Grades,Fee,Other,Instructor_raw_from_website,Instructor_pronouns
175,343,,CSS,2026,WIN,,,,C,,,TTh,3:30-5:30 pm,,,"Reel, Eric",,,40.0,,False,,"Reel, Eric",
176,436,,CSS,2026,WIN,,,,A,,,MW,3:30-5:30 pm,,,"Dame, Stephen",,,48.0,,False,,"Dame, Stephen",
177,444,,CSS,2026,WIN,,,,A,,,TTh,3:30-5:30 pm,,,"Zade, Himanshu",,,48.0,,False,,"Zade, Himanshu",
178,481,,CSS,2026,WIN,,,,A,,,MW,3:30-5:30 pm,,,,,,48.0,,False,,,
179,350,,CSS,2026,WIN,,,,B,,,TTh,5:45-7:45 pm,,,,,,48.0,,False,,,
180,565,,CSS,2026,WIN,,,,A,,,MW,5:45-7:45 pm,,,"Erdly, William",,,40.0,,False,,"Erdly, William",
181,535,,CSS,2026,WIN,,,,A,,,TTh,5:45-7:45 pm,,,"Parsons, Erika",,,40.0,,False,,"Parsons, Erika",
182,343,,CSS,2026,WIN,,,,D,,,MW,5:45-7:45 pm,,,"Pisan, Yusuf",,,40.0,,False,,"Pisan, Yusuf",
183,350,,CSS,2026,WIN,,,,C,,,MW,5:45-7:45 pm,,,"Rubin, Zachary",,,48.0,,False,,"Rubin, Zachary",
184,552,,CSS,2026,WIN,,,,A,,,TTh,5:45-7:45 pm,,,"Sung, Kelvin",,,40.0,,False,,"Sung, Kelvin",
185,537,,CSS,2026,WIN,,,,A,,,TTh,5:45-7:45 pm,,,"Thamilarasu, Geetha",,,40.0,,False,,"Thamilarasu, Geetha",
186,107,,CSS,2026,WIN,,,,A,,,TTh,5:45-7:45 pm,,,,,,48.0,,False,,,
187,142,,CSS,2026,WIN,,,,D,,,MW,5:45-7:45 pm,,,,,,48.0,,False,,,
188,143,,CSS,2026,WIN,,,,C,,,TTh,5:45-7:45 pm,,,"Nixon, David",,,48.0,,False,,"Nixon, David",
189,310,,CSS,2026,WIN,,,,B,,,TTh,5:45-7:45 pm,,,"Awad, Ahmed",,,48.0,,False,,"Awad, Ahmed",
190,343,,CSS,2026,WIN,,,,B,,,TTh,5:45-7:45 pm,,,,,,40.0,,False,,,
191,343,,CSS,2026,WIN,,,,B,,,TTh,5:45-7:45 pm,,,,,,40.0,,False,,,
192,370,,CSS,2026,WIN,,,,A,,,TTh,5:45-7:45 pm,,,"Zade, Himanshu",,,48.0,,False,,"Zade, Himanshu",
193,390,,CSS,2026,WIN,,,,A,,,TTh,5:45-7:45 pm,,,,,,48.0,,False,,,
194,415,,CSS,2026,WIN,,,,A,,,TTh,5:45-7:45 pm,,,William Lidster,,,48.0,,False,,William Lidster,
195,579,,CSS,2026,WIN,,,,A,,,MW,5:45-7:45 pm,,,"Bantwal, Praveen",,,40.0,,False,,"Bantwal, Praveen",
196,518,,CSS,2026,WIN,,,,A,,,T,8:00-10:00 pm,,,"Dupuis, Marc",,,40.0,,False,,"Dupuis, Marc",
197,590,,CSS,2026,WIN,,,,A,,,TTh,8:00-10:00 pm,,,"Parsons, Erika",,,40.0,,False,,"Parsons, Erika",
198,107,,CSS,2026,WIN,,,,B,,,MW,8:00-10:00 pm,,,"Ahmed, Faisal",,,48.0,,False,,"Ahmed, Faisal",
199,343,,CSS,2026,WIN,,,,A,,,TTh,8:00-10:00 pm,,,"Kartha, Neelakantan",,,40.0,,False,,"Kartha, Neelakantan",
200,360,,CSS,2026,WIN,,,,A,,,TTh,8:00-10:00 pm,,,,,,30.0,,False,,,
201,422,,CSS,2026,WIN,,,,B,,,TTh,8:00-10:00 pm,,,"Joshi, Sanjay",,,48.0,,False,,"Joshi, Sanjay",
202,485,,CSS,2026,WIN,,,,A,,,TTh,8:00-10:00 pm,,,"Rahman, Muntasir Raihan",,,48.0,,False,,"Rahman, Muntasir Raihan",
203,496,,CSS,2026,WIN,,,,A,,,TTh,8:00-10:00 pm,,,"Awad, Ahmed",,,20.0,,False,,"Awad, Ahmed",
204,555,,CSS,2026,WIN,,,,A,,,MW,8:00-10:00 pm,,,"Phillips, Chris",,,40.0,,False,,"Phillips, Chris",
205,382,,CSS,2026,WIN,,,,A,,,MW,8:00-10:00 pm,,,"Champion, Mia",,,48.0,,False,,"Champion, Mia",
206,123,,CSS,2026,WIN,,,,A,,,TF,8:00-10:00 pm,,,"Lin, Johnny",,,48.0,,False,,"Lin, Johnny",
207,123,,CSSSKL,2026,WIN,,,,A,,,F,8:00-10:00 pm,,,,,,48.0,,False,,,
208,310,,CSS,2026,WIN,,,,A,,,TTh,8:00-10:00 pm,,,,,,48.0,,False,,,
209,340,,CSS,2026,WIN,,,,A,,,TTh,8:00-10:00 pm,,,,,,40.0,,False,,,
210,497,,CSS,2026,WIN,,,,D,,,MW, 11:00 am-1:00 pm,,,"Anderson, Laurie",,,20.0,,False,,"Anderson, Laurie",
211,342,,CSS,2026,WIN,,,,B,,,TTh, 11:00 am-1:00 pm,,,,,,40.0,,False,,,
212,360,,CSS,2026,WIN,,,,B,,,TTh, 11:00 am-1:00 pm,,,"Champion, Kaylea",,,30.0,,False,,"Champion, Kaylea",
213,478,,CSS,2026,WIN,,,,A,,,TTh, 11:00 am-1:00 pm,,,"Dailey, Dharma",,,40.0,,False,,"Dailey, Dharma",
214,490,,CSS,2026,WIN,,,,A,,,F, 11:00 am-1:00 pm,,,,,,48.0,,False,,,
215,421,,CSS,2026,WIN,,,,A,,,MW, 11:00 am-1:00 pm,,,"Kim, Jeff",,,48.0,,False,,"Kim, Jeff",
216,497,,CSS,2026,WIN,,,,C,,,TTh, 11:00 am-1:00 pm,,,,,,20.0,,False,,,
217,211,,CSS,2026,WIN,,,,B,,,MW, 11:00 am-1:00 pm,,,,,,48.0,,False,,,
218,142,,CSS,2026,WIN,,,,B,,,TTh, 11:00 am-1:00 pm,,,,,,48.0,,False,,,
219,430,,CSS,2026,WIN,,,,B,,,TTh, 11:00 am-1:00 pm,,,"Pisan, Yusuf",,,48.0,,False,,"Pisan, Yusuf",
220,143,,CSS,2026,WIN,,,,B,,,MW, 11:00 am-1:00 pm,,,"Stride, Jeff",,,48.0,,False,,"Stride, Jeff",
221,142,,CSS,2026,WIN,,,,A,,,MW, 11:00 am-1:00 pm,,,"Chini, Morteza",,,48.0,,False,,"Chini, Morteza",
222,290,,CSS,2026,WIN,,,,B,,,F, 11:00 am-1:00 pm,,,,,,48.0,,False,,,
223,301,,CSS,2026,WIN,,,,D,,,TTh, 11:00 am-1:00 pm,,,"Shaw, Carol ",,,30.0,,False,,"Shaw, Carol ",
224,315,,CSS,2026,WIN,,,,A,,,TTh, 11:00 am-1:00 pm,,,"Joshi, Sanjay",,,48.0,,False,,"Joshi, Sanjay",
225,370,,CSS,2026,WIN,,,,B,,,TTh, 11:00 am-1:00 pm,,,,,,48.0,,False,,,
226,475,,CSS,2026,WIN,,,,A,,,MW, 11:00 am-1:00 pm,,,,,,48.0,,False,,,
227,342,,CSSSKL,2026,WIN,,,,A,,,F,1:15-5:15,,,,,,90.0,,False,,,
228,133,,CSSSKL,2026,WIN,,,,A,,,F,11:30-2:00,,,TA TBD,,,30.0,,False,11:30-2:00,TA TBD,
229,142,,CSSSKL,2026,WIN,,,,B,,,F,11:30-2:00,,,,,,48.0,,False,,,
230,143,,CSSSKL,2026,WIN,,,,A,,,F,11:30-2:00,,,,,,48.0,,False,,,
231,142,,CSSSKL,2026,WIN,,,,C,,,F,2:30-5:00,,,TA TBD,,,48.0,,False,2:30-5:00,TA TBD,
232,143,,CSSSKL,2026,WIN,,,,B,,,F,2:30-5:00,,,,,,48.0,,False,,,
233,142,,CSSSKL,2026,WIN,,,,D,,,F,5:15-7:45,,,TA TBD,,,48.0,,False,5:15-7:45,TA TBD,
234,143,,CSSSKL,2026,WIN,,,,D,,,F,5:15-7:45,,,TA TBD,,,48.0,,False,5:15-7:45,TA TBD,
235,507,,CSS,2026,WIN,,,,A,,,W,7:00-9:00,,,"Brechner, Eric",,,45.0,,False,7:00-9:00,"Brechner, Eric",
236,599,,CSS,2026,WIN,,,,A,,,T,8:00-9:00,,,,,,60.0,,False,,,
237,599,,CSS,2026,WIN,,,,A,,,T,8:00-9:00,,,,,,60.0,,False,8:00-9:00,,
238,142,,CSSSKL,2026,WIN,,,,A,,,F,8:45-11:15,,,TA TBD,,,48.0,,False,8:45-11:15,TA TBD,
239,143,,CSSSKL,2026,WIN,,,,C,,,F,8:45-11:15,,,TA TBD,,,48.0,,False,8:45-11:15,TA TBD,
240,502,,CSS,2026,WIN,,,,A,,,,,,,"Chen, Min",,,90.0,,False,,"Chen, Min",
241,507,,CSS,2026,WIN,,,,B,,,,,,,"Kim, Jeff",,,60.0,,False,,"Kim, Jeff",
242,122A,,PHYS,2026,WIN,,,,D,,Lab,T,8:45-10:45 am,,INV 312,,,,24.0,,True,,,
243,122A,,PHYS,2026,WIN,,,,E,,Lab,T,11:00 am-1:00 pm,,INV 312,,,,24.0,,True,,,
244,122A,,PHYS,2026,WIN,,,,F,,Lab,T,1:15-3:15 pm,,INV 312,,,,24.0,,True,,,
245,122A,,PHYS,2026,WIN,,,,G,,Lab,T,3:30-5:30 pm,,INV 312,,,,24.0,,True,,,
246,122A,,PHYS,2026,WIN,,,,H,,Lab,T,5:45-7:45 pm,,INV 312,,,,24.0,,True,,,
247,122A,,PHYS,2026,WIN,,,,I,,Lab,Th,3:30-5:30 pm,,INV 312,,,,24.0,,True,,,
248,122A,,PHYS,2026,WIN,,,,J,,Lab,Th,5:45-7:45 pm,,INV 312,,,,24.0,,True,,,
249,122A,,PHYS,2026,WIN,,,,K,,Lab,F,8:45-10:45 am,,INV 312,,,,24.0,,True,Reserve section,,
250,122A,,PHYS,2026,WIN,,,,L,,Lab,F,5:45-7:45 pm,,INV 312,,,,24.0,,True,Reserve section,,
251,450,,PHYS,2026,WIN,,,,A,,Lecture,TTh,3:30-5:30 pm,,,"Salathé, Eric",,,24.0,,False,,"Salathé, Eric",
252,320,,BIO,2026,WIN,,,,A,,Lecture,MW,3:30-5:30 pm,,,"Wacker, Douglas",,,48.0,,False,,"Wacker, Douglas",
253,355,,BIO,2026,WIN,,,,A,,Lecture,TTh,1:15-3:15 pm,,,"Wacker, Douglas",,,30.0,,False,,"Wacker, Douglas",
254,340,,BIO,2026,WIN,,,,A,,Online Synchronous,TTh,11:00 am-1:00 pm,,Other,"Zaneveld, Jesse",,,30.0,,False,100% ONLINE SYNCHRONOUS,"Zaneveld, Jesse",
255,470,,BIO,2026,WIN,,,,A,,Online Synchronous,MW,1:15-3:15 pm,,Other,"Zaneveld, Jesse",,,24.0,,False,,"Zaneveld, Jesse",
